      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[12:45:09.384 08/02/1996]      766     "    0    3    0	IRREGULAR HR   
[12:45:10.408 08/02/1996]      767     "    0    3    0	IRREGULAR HR   
[12:45:11.432 08/02/1996]      768     "    0    3    0	IRREGULAR HR   
[12:45:12.456 08/02/1996]      769     "    0    3    0	IRREGULAR HR   
[12:45:13.480 08/02/1996]      770     "    0    3    0	IRREGULAR HR   
[12:45:14.504 08/02/1996]      771     "    0    3    0	IRREGULAR HR   
[12:45:15.528 08/02/1996]      772     "    0    3    0	IRREGULAR HR   
[12:45:16.552 08/02/1996]      773     "    0    3    0	IRREGULAR HR   
[12:45:17.576 08/02/1996]      774     "    0    3    0	IRREGULAR HR   
[12:45:18.600 08/02/1996]      775     "    0    3    0	IRREGULAR HR   
[12:45:19.624 08/02/1996]      776     "    0    3    0	IRREGULAR HR   
[12:45:20.648 08/02/1996]      777     "    0    3    0	IRREGULAR HR   
[12:45:21.672 08/02/1996]      778     "    0    3    0	IRREGULAR HR   
[12:45:22.696 08/02/1996]      779     "    0    3    0	IRREGULAR HR   
[12:45:23.720 08/02/1996]      780     "    0    3    0	IRREGULAR HR   
[12:45:24.744 08/02/1996]      781     "    0    3    0	IRREGULAR HR   
[12:45:25.768 08/02/1996]      782     "    0    3    0	IRREGULAR HR   
[12:45:26.792 08/02/1996]      783     "    0    3    0	IRREGULAR HR   
[12:45:27.816 08/02/1996]      784     "    0    3    0	IRREGULAR HR   
[12:45:28.840 08/02/1996]      785     "    0    3    0	IRREGULAR HR   
[12:45:29.864 08/02/1996]      786     "    0    3    0	IRREGULAR HR   
[12:45:30.888 08/02/1996]      787     "    0    3    0	IRREGULAR HR   
[12:45:31.912 08/02/1996]      788     "    0    3    0	IRREGULAR HR   
[12:45:32.936 08/02/1996]      789     "    0    3    0	IRREGULAR HR   
[12:45:33.960 08/02/1996]      790     "    0    3    0	IRREGULAR HR   
[12:45:34.984 08/02/1996]      791     "    0    3    0	IRREGULAR HR   
[12:45:36.008 08/02/1996]      792     "    0    3    0	IRREGULAR HR   
[12:45:37.032 08/02/1996]      793     "    0    3    0	IRREGULAR HR   
[12:45:38.056 08/02/1996]      794     "    0    3    0	IRREGULAR HR   
[12:45:39.080 08/02/1996]      795     "    0    3    0	IRREGULAR HR   
[12:45:40.104 08/02/1996]      796     "    0    3    0	IRREGULAR HR   
[12:45:41.128 08/02/1996]      797     "    0    3    0	IRREGULAR HR   
[12:45:42.152 08/02/1996]      798     "    0    3    0	IRREGULAR HR   
[12:45:43.176 08/02/1996]      799     "    0    3    0	IRREGULAR HR   
[12:45:44.200 08/02/1996]      800     "    0    3    0	IRREGULAR HR   
[12:45:45.224 08/02/1996]      801     "    0    3    0	IRREGULAR HR   
[12:45:46.248 08/02/1996]      802     "    0    3    0	IRREGULAR HR   
[12:45:47.272 08/02/1996]      803     "    0    3    0	IRREGULAR HR   
[12:45:48.296 08/02/1996]      804     "    0    3    0	IRREGULAR HR   
[12:45:49.320 08/02/1996]      805     "    0    3    0	IRREGULAR HR   
[12:45:50.344 08/02/1996]      806     "    0    3    0	IRREGULAR HR   
[12:45:51.368 08/02/1996]      807     "    0    3    0	IRREGULAR HR   
[12:45:52.392 08/02/1996]      808     "    0    3    0	IRREGULAR HR   
[12:45:53.416 08/02/1996]      809     "    0    3    0	IRREGULAR HR   
[12:45:54.440 08/02/1996]      810     "    0    3    0	IRREGULAR HR   
[12:45:55.464 08/02/1996]      811     "    0    3    0	IRREGULAR HR   
[12:45:56.488 08/02/1996]      812     "    0    3    0	IRREGULAR HR   
[12:45:57.512 08/02/1996]      813     "    0    3    0	IRREGULAR HR   
[12:45:58.536 08/02/1996]      814     "    0    3    0	IRREGULAR HR   
[12:45:59.560 08/02/1996]      815     "    0    3    0	IRREGULAR HR   
[12:46:00.584 08/02/1996]      816     "    0    3    0	IRREGULAR HR   
[12:46:01.608 08/02/1996]      817     "    0    3    0	IRREGULAR HR   
[12:46:02.632 08/02/1996]      818     "    0    3    0	IRREGULAR HR   
[12:46:03.656 08/02/1996]      819     "    0    3    0	IRREGULAR HR   
[12:46:04.680 08/02/1996]      820     "    0    3    0	IRREGULAR HR   
[12:46:05.704 08/02/1996]      821     "    0    3    0	IRREGULAR HR   
[12:46:06.728 08/02/1996]      822     "    0    3    0	IRREGULAR HR   
[12:46:07.752 08/02/1996]      823     "    0    3    0	IRREGULAR HR   
[12:46:08.776 08/02/1996]      824     "    0    3    0	IRREGULAR HR   
[12:46:09.800 08/02/1996]      825     "    0    3    0	IRREGULAR HR   
[12:46:10.824 08/02/1996]      826     "    0    3    0	IRREGULAR HR   
[12:46:11.848 08/02/1996]      827     "    0    3    0	IRREGULAR HR   
[12:46:12.872 08/02/1996]      828     "    0    3    0	IRREGULAR HR   
[12:46:13.896 08/02/1996]      829     "    0    3    0	IRREGULAR HR   
[12:46:14.920 08/02/1996]      830     "    0    3    0	IRREGULAR HR   
[12:46:15.944 08/02/1996]      831     "    0    3    0	IRREGULAR HR   
[12:46:16.968 08/02/1996]      832     "    0    3    0	IRREGULAR HR   
[12:46:17.992 08/02/1996]      833     "    0    3    0	IRREGULAR HR   
[12:46:19.016 08/02/1996]      834     "    0    3    0	IRREGULAR HR   
[12:46:20.040 08/02/1996]      835     "    0    3    0	IRREGULAR HR   
[12:46:21.064 08/02/1996]      836     "    0    3    0	IRREGULAR HR   
[12:46:22.088 08/02/1996]      837     "    0    3    0	IRREGULAR HR   
[12:46:23.112 08/02/1996]      838     "    0    3    0	IRREGULAR HR   
[12:46:24.136 08/02/1996]      839     "    0    3    0	IRREGULAR HR   
[12:46:25.160 08/02/1996]      840     "    0    3    0	IRREGULAR HR   
[12:46:26.184 08/02/1996]      841     "    0    3    0	IRREGULAR HR   
[12:46:27.208 08/02/1996]      842     "    0    3    0	IRREGULAR HR   
[12:46:28.232 08/02/1996]      843     "    0    3    0	IRREGULAR HR   
[12:46:29.256 08/02/1996]      844     "    0    3    0	IRREGULAR HR   
[12:46:30.280 08/02/1996]      845     "    0    3    0	IRREGULAR HR   
[12:46:31.304 08/02/1996]      846     "    0    3    0	IRREGULAR HR   
[12:46:32.328 08/02/1996]      847     "    0    3    0	IRREGULAR HR   
[12:46:33.352 08/02/1996]      848     "    0    3    0	IRREGULAR HR   
[12:46:34.376 08/02/1996]      849     "    0    3    0	IRREGULAR HR   
[12:46:35.400 08/02/1996]      850     "    0    3    0	IRREGULAR HR   
[12:46:36.424 08/02/1996]      851     "    0    3    0	IRREGULAR HR   
[12:46:37.448 08/02/1996]      852     "    0    3    0	IRREGULAR HR   
[12:46:38.472 08/02/1996]      853     "    0    3    0	IRREGULAR HR   
[12:46:39.496 08/02/1996]      854     "    0    3    0	IRREGULAR HR   
[12:46:40.520 08/02/1996]      855     "    0    3    0	IRREGULAR HR   
[12:46:41.544 08/02/1996]      856     "    0    3    0	IRREGULAR HR   
[12:46:42.568 08/02/1996]      857     "    0    3    0	IRREGULAR HR   
[12:46:43.592 08/02/1996]      858     "    0    3    0	IRREGULAR HR   
[12:46:44.616 08/02/1996]      859     "    0    3    0	IRREGULAR HR   
[12:46:45.640 08/02/1996]      860     "    0    3    0	IRREGULAR HR   
[12:46:46.664 08/02/1996]      861     "    0    3    0	IRREGULAR HR   
[12:46:47.688 08/02/1996]      862     "    0    3    0	IRREGULAR HR   
[12:46:48.712 08/02/1996]      863     "    0    3    0	IRREGULAR HR   
[12:46:49.736 08/02/1996]      864     "    0    3    0	IRREGULAR HR   
[12:46:50.760 08/02/1996]      865     "    0    3    0	IRREGULAR HR   
[12:46:51.784 08/02/1996]      866     "    0    3    0	IRREGULAR HR   
[12:46:52.808 08/02/1996]      867     "    0    3    0	IRREGULAR HR   
[12:46:53.832 08/02/1996]      868     "    0    3    0	IRREGULAR HR   
[12:46:54.856 08/02/1996]      869     "    0    3    0	IRREGULAR HR   
[12:46:55.880 08/02/1996]      870     "    0    3    0	IRREGULAR HR   
[12:46:56.904 08/02/1996]      871     "    0    3    0	IRREGULAR HR   
[12:46:57.928 08/02/1996]      872     "    0    3    0	IRREGULAR HR   
[12:46:58.952 08/02/1996]      873     "    0    3    0	IRREGULAR HR   
[12:46:59.976 08/02/1996]      874     "    0    3    0	IRREGULAR HR   
[12:47:01.000 08/02/1996]      875     "    0    3    0	IRREGULAR HR   
[12:47:02.024 08/02/1996]      876     "    0    3    0	IRREGULAR HR   
[12:47:03.048 08/02/1996]      877     "    0    3    0	IRREGULAR HR   
[12:47:04.072 08/02/1996]      878     "    0    3    0	IRREGULAR HR   
[12:47:05.096 08/02/1996]      879     "    0    3    0	IRREGULAR HR   
[12:47:06.120 08/02/1996]      880     "    0    3    0	IRREGULAR HR   
[12:47:07.144 08/02/1996]      881     "    0    3    0	IRREGULAR HR   
[12:47:08.168 08/02/1996]      882     "    0    3    0	IRREGULAR HR   
[12:47:09.192 08/02/1996]      883     "    0    3    0	IRREGULAR HR   
[12:47:10.216 08/02/1996]      884     "    0    3    0	IRREGULAR HR   
[12:47:11.240 08/02/1996]      885     "    0    3    0	IRREGULAR HR   
[12:47:12.264 08/02/1996]      886     "    0    3    0	IRREGULAR HR   
[12:47:13.288 08/02/1996]      887     "    0    3    0	IRREGULAR HR   
[12:47:14.312 08/02/1996]      888     "    0    3    0	IRREGULAR HR   
[12:47:15.336 08/02/1996]      889     "    0    3    0	IRREGULAR HR   
[12:47:16.360 08/02/1996]      890     "    0    3    0	IRREGULAR HR   
[12:47:17.384 08/02/1996]      891     "    0    3    0	IRREGULAR HR   
[12:47:18.408 08/02/1996]      892     "    0    3    0	IRREGULAR HR   
[12:47:19.432 08/02/1996]      893     "    0    3    0	IRREGULAR HR   
[12:47:20.456 08/02/1996]      894     "    0    3    0	IRREGULAR HR   
[12:47:21.480 08/02/1996]      895     "    0    3    0	IRREGULAR HR   
[12:47:22.504 08/02/1996]      896     "    0    3    0	IRREGULAR HR   
[12:47:23.528 08/02/1996]      897     "    0    3    0	IRREGULAR HR   
[12:47:24.552 08/02/1996]      898     "    0    3    0	IRREGULAR HR   
[12:47:25.576 08/02/1996]      899     "    0    3    0	IRREGULAR HR   
[12:47:26.600 08/02/1996]      900     "    0    3    0	IRREGULAR HR   
[12:47:27.624 08/02/1996]      901     "    0    3    0	IRREGULAR HR   
[12:47:28.648 08/02/1996]      902     "    0    3    0	IRREGULAR HR   
[12:47:29.672 08/02/1996]      903     "    0    3    0	IRREGULAR HR   
[12:47:30.696 08/02/1996]      904     "    0    3    0	IRREGULAR HR   
[12:47:31.720 08/02/1996]      905     "    0    3    0	IRREGULAR HR   
[12:47:32.744 08/02/1996]      906     "    0    3    0	IRREGULAR HR   
[12:47:33.768 08/02/1996]      907     "    0    3    0	IRREGULAR HR   
[12:47:34.792 08/02/1996]      908     "    0    3    0	IRREGULAR HR   
[12:47:35.816 08/02/1996]      909     "    0    3    0	IRREGULAR HR   
[12:47:36.840 08/02/1996]      910     "    0    3    0	IRREGULAR HR   
[12:47:37.864 08/02/1996]      911     "    0    3    0	IRREGULAR HR   
[12:47:38.888 08/02/1996]      912     "    0    3    0	IRREGULAR HR   
[12:47:39.912 08/02/1996]      913     "    0    3    0	IRREGULAR HR   
[12:47:40.936 08/02/1996]      914     "    0    3    0	IRREGULAR HR   
[12:47:41.960 08/02/1996]      915     "    0    3    0	IRREGULAR HR   
[12:47:42.984 08/02/1996]      916     "    0    3    0	IRREGULAR HR   
[12:47:44.008 08/02/1996]      917     "    0    3    0	IRREGULAR HR   
[12:47:45.032 08/02/1996]      918     "    0    3    0	IRREGULAR HR   
[12:47:46.056 08/02/1996]      919     "    0    3    0	IRREGULAR HR   
[12:47:47.080 08/02/1996]      920     "    0    3    0	IRREGULAR HR   
[12:47:48.104 08/02/1996]      921     "    0    3    0	IRREGULAR HR   
[12:47:49.128 08/02/1996]      922     "    0    3    0	IRREGULAR HR   
[12:47:50.152 08/02/1996]      923     "    0    3    0	IRREGULAR HR   
[12:47:51.176 08/02/1996]      924     "    0    3    0	IRREGULAR HR   
[12:47:52.200 08/02/1996]      925     "    0    3    0	IRREGULAR HR   
[12:47:53.224 08/02/1996]      926     "    0    3    0	IRREGULAR HR   
[12:47:54.248 08/02/1996]      927     "    0    3    0	IRREGULAR HR   
[12:47:55.272 08/02/1996]      928     "    0    3    0	IRREGULAR HR   
[12:47:56.296 08/02/1996]      929     "    0    3    0	IRREGULAR HR   
[12:47:57.320 08/02/1996]      930     "    0    3    0	IRREGULAR HR   
[12:47:58.344 08/02/1996]      931     "    0    3    0	IRREGULAR HR   
[12:47:59.368 08/02/1996]      932     "    0    3    0	IRREGULAR HR   
[12:48:00.392 08/02/1996]      933     "    0    3    0	IRREGULAR HR   
[12:48:01.416 08/02/1996]      934     "    0    3    0	IRREGULAR HR   
[12:48:02.440 08/02/1996]      935     "    0    3    0	IRREGULAR HR   
[12:48:03.464 08/02/1996]      936     "    0    3    0	IRREGULAR HR   
[12:48:04.488 08/02/1996]      937     "    0    3    0	IRREGULAR HR   
[12:48:05.512 08/02/1996]      938     "    0    3    0	IRREGULAR HR   
[12:48:06.536 08/02/1996]      939     "    0    3    0	IRREGULAR HR   
[12:48:07.560 08/02/1996]      940     "    0    3    0	IRREGULAR HR   
[12:48:08.584 08/02/1996]      941     "    0    3    0	IRREGULAR HR   
[12:48:09.608 08/02/1996]      942     "    0    3    0	IRREGULAR HR   
[12:48:10.632 08/02/1996]      943     "    0    3    0	IRREGULAR HR   
[12:48:11.656 08/02/1996]      944     "    0    3    0	IRREGULAR HR   
[12:48:12.680 08/02/1996]      945     "    0    3    0	IRREGULAR HR   
[12:48:13.704 08/02/1996]      946     "    0    3    0	IRREGULAR HR   
[12:48:14.728 08/02/1996]      947     "    0    3    0	IRREGULAR HR   
[12:48:15.752 08/02/1996]      948     "    0    3    0	IRREGULAR HR   
[12:48:16.776 08/02/1996]      949     "    0    3    0	IRREGULAR HR   
[12:48:17.800 08/02/1996]      950     "    0    3    0	IRREGULAR HR   
[12:48:18.824 08/02/1996]      951     "    0    3    0	IRREGULAR HR   
[12:48:19.848 08/02/1996]      952     "    0    3    0	IRREGULAR HR   
[12:48:20.872 08/02/1996]      953     "    0    3    0	IRREGULAR HR   
[12:48:21.896 08/02/1996]      954     "    0    3    0	IRREGULAR HR   
[12:48:22.920 08/02/1996]      955     "    0    3    0	IRREGULAR HR   
[12:48:23.944 08/02/1996]      956     "    0    3    0	IRREGULAR HR   
[12:48:24.968 08/02/1996]      957     "    0    3    0	IRREGULAR HR   
[12:48:25.992 08/02/1996]      958     "    0    3    0	IRREGULAR HR   
[12:48:27.016 08/02/1996]      959     "    0    3    0	IRREGULAR HR   
[12:48:28.040 08/02/1996]      960     "    0    3    0	IRREGULAR HR   
[12:48:29.064 08/02/1996]      961     "    0    3    0	IRREGULAR HR   
[12:48:30.088 08/02/1996]      962     "    0    3    0	IRREGULAR HR   
[12:48:31.112 08/02/1996]      963     "    0    3    0	IRREGULAR HR   
[12:48:32.136 08/02/1996]      964     "    0    3    0	IRREGULAR HR   
[12:48:33.160 08/02/1996]      965     "    0    3    0	IRREGULAR HR   
[12:48:34.184 08/02/1996]      966     "    0    3    0	IRREGULAR HR   
[12:48:35.208 08/02/1996]      967     "    0    3    0	IRREGULAR HR   
[12:48:36.232 08/02/1996]      968     "    0    3    0	IRREGULAR HR   
[12:48:37.256 08/02/1996]      969     "    0    3    0	IRREGULAR HR   
[12:48:38.280 08/02/1996]      970     "    0    3    0	IRREGULAR HR   
[12:48:39.304 08/02/1996]      971     "    0    3    0	IRREGULAR HR   
[12:48:40.328 08/02/1996]      972     "    0    3    0	IRREGULAR HR   
[12:48:41.352 08/02/1996]      973     "    0    3    0	IRREGULAR HR   
[12:48:42.376 08/02/1996]      974     "    0    3    0	IRREGULAR HR   
[12:48:43.400 08/02/1996]      975     "    0    3    0	IRREGULAR HR   
[12:48:44.424 08/02/1996]      976     "    0    3    0	IRREGULAR HR   
[12:48:45.448 08/02/1996]      977     "    0    3    0	IRREGULAR HR   
[12:48:46.472 08/02/1996]      978     "    0    3    0	IRREGULAR HR   
[12:48:47.496 08/02/1996]      979     "    0    3    0	IRREGULAR HR   
[12:48:48.520 08/02/1996]      980     "    0    3    0	IRREGULAR HR   
[12:48:49.544 08/02/1996]      981     "    0    3    0	IRREGULAR HR   
[12:48:50.568 08/02/1996]      982     "    0    3    0	IRREGULAR HR   
[12:48:51.592 08/02/1996]      983     "    0    3    0	IRREGULAR HR   
[12:48:52.616 08/02/1996]      984     "    0    3    0	IRREGULAR HR   
[12:48:53.640 08/02/1996]      985     "    0    3    0	IRREGULAR HR   
[12:48:54.664 08/02/1996]      986     "    0    3    0	IRREGULAR HR   
[12:48:55.688 08/02/1996]      987     "    0    3    0	IRREGULAR HR   
[12:48:56.712 08/02/1996]      988     "    0    3    0	IRREGULAR HR   
[12:48:57.736 08/02/1996]      989     "    0    3    0	IRREGULAR HR   
[12:48:58.760 08/02/1996]      990     "    0    3    0	IRREGULAR HR   
[12:48:59.784 08/02/1996]      991     "    0    3    0	IRREGULAR HR   
[12:49:00.808 08/02/1996]      992     "    0    3    0	IRREGULAR HR   
[12:49:01.832 08/02/1996]      993     "    0    3    0	IRREGULAR HR   
[12:49:02.856 08/02/1996]      994     "    0    3    0	IRREGULAR HR   
[12:49:03.880 08/02/1996]      995     "    0    3    0	IRREGULAR HR   
[12:49:04.904 08/02/1996]      996     "    0    3    0	IRREGULAR HR   
[12:49:05.928 08/02/1996]      997     "    0    3    0	IRREGULAR HR   
[12:49:06.952 08/02/1996]      998     "    0    3    0	IRREGULAR HR   
[12:49:07.976 08/02/1996]      999     "    0    3    0	IRREGULAR HR   
[12:49:09.000 08/02/1996]     1000     "    0    3    0	IRREGULAR HR   
[12:49:10.024 08/02/1996]     1001     "    0    3    0	IRREGULAR HR   
[12:49:11.048 08/02/1996]     1002     "    0    3    0	IRREGULAR HR   
[12:49:12.072 08/02/1996]     1003     "    0    3    0	IRREGULAR HR   
[12:49:13.096 08/02/1996]     1004     "    0    3    0	IRREGULAR HR   
[12:49:14.120 08/02/1996]     1005     "    0    3    0	IRREGULAR HR   
[12:49:15.144 08/02/1996]     1006     "    0    3    0	IRREGULAR HR   
[12:49:16.168 08/02/1996]     1007     "    0    3    0	IRREGULAR HR   
[12:49:17.192 08/02/1996]     1008     "    0    3    0	IRREGULAR HR   
[12:49:18.216 08/02/1996]     1009     "    0    3    0	IRREGULAR HR   
[12:49:19.240 08/02/1996]     1010     "    0    3    0	IRREGULAR HR   
[12:49:20.264 08/02/1996]     1011     "    0    3    0	IRREGULAR HR   
[12:49:21.288 08/02/1996]     1012     "    0    3    0	IRREGULAR HR   
[12:49:22.312 08/02/1996]     1013     "    0    3    0	IRREGULAR HR   
[12:49:23.336 08/02/1996]     1014     "    0    3    0	IRREGULAR HR   
[12:49:24.360 08/02/1996]     1015     "    0    3    0	IRREGULAR HR   
[12:49:25.384 08/02/1996]     1016     "    0    3    0	IRREGULAR HR   
[12:49:26.408 08/02/1996]     1017     "    0    3    0	IRREGULAR HR   
[12:49:27.432 08/02/1996]     1018     "    0    3    0	IRREGULAR HR   
[12:49:28.456 08/02/1996]     1019     "    0    3    0	IRREGULAR HR   
[12:49:29.480 08/02/1996]     1020     "    0    3    0	IRREGULAR HR   
[12:49:30.504 08/02/1996]     1021     "    0    3    0	IRREGULAR HR   
[12:49:31.528 08/02/1996]     1022     "    0    3    0	IRREGULAR HR   
[12:49:32.552 08/02/1996]     1023     "    0    3    0	IRREGULAR HR   
[12:49:33.576 08/02/1996]     1024     "    0    3    0	IRREGULAR HR   
[12:49:34.600 08/02/1996]     1025     "    0    3    0	IRREGULAR HR   
[12:49:35.624 08/02/1996]     1026     "    0    3    0	IRREGULAR HR   
[12:49:36.648 08/02/1996]     1027     "    0    3    0	IRREGULAR HR   
[12:49:37.672 08/02/1996]     1028     "    0    3    0	IRREGULAR HR   
[12:49:38.696 08/02/1996]     1029     "    0    3    0	IRREGULAR HR   
[12:49:39.720 08/02/1996]     1030     "    0    3    0	IRREGULAR HR   
[12:49:40.744 08/02/1996]     1031     "    0    3    0	IRREGULAR HR   
[12:49:41.768 08/02/1996]     1032     "    0    3    0	IRREGULAR HR   
[12:49:42.792 08/02/1996]     1033     "    0    3    0	IRREGULAR HR   
[12:49:43.816 08/02/1996]     1034     "    0    3    0	IRREGULAR HR   
[12:49:44.840 08/02/1996]     1035     "    0    3    0	IRREGULAR HR   
[12:49:45.864 08/02/1996]     1036     "    0    3    0	IRREGULAR HR   
[12:49:46.888 08/02/1996]     1037     "    0    3    0	IRREGULAR HR   
[12:49:47.912 08/02/1996]     1038     "    0    3    0	IRREGULAR HR   
[12:49:48.936 08/02/1996]     1039     "    0    3    0	IRREGULAR HR   
[12:49:49.960 08/02/1996]     1040     "    0    3    0	IRREGULAR HR   
[12:49:50.984 08/02/1996]     1041     "    0    3    0	IRREGULAR HR   
[12:49:52.008 08/02/1996]     1042     "    0    3    0	IRREGULAR HR   
[12:49:53.032 08/02/1996]     1043     "    0    3    0	IRREGULAR HR   
[12:49:54.056 08/02/1996]     1044     "    0    3    0	IRREGULAR HR   
[12:49:55.080 08/02/1996]     1045     "    0    3    0	IRREGULAR HR   
[12:49:56.104 08/02/1996]     1046     "    0    3    0	IRREGULAR HR   
[12:49:57.128 08/02/1996]     1047     "    0    3    0	IRREGULAR HR   
[12:49:58.152 08/02/1996]     1048     "    0    3    0	IRREGULAR HR   
[12:49:59.176 08/02/1996]     1049     "    0    3    0	IRREGULAR HR   
[12:50:00.200 08/02/1996]     1050     "    0    3    0	IRREGULAR HR   
[12:50:01.224 08/02/1996]     1051     "    0    3    0	IRREGULAR HR   
[12:50:02.248 08/02/1996]     1052     "    0    3    0	IRREGULAR HR   
[12:50:03.272 08/02/1996]     1053     "    0    3    0	IRREGULAR HR   
[12:50:04.296 08/02/1996]     1054     "    0    3    0	IRREGULAR HR   
[12:50:05.320 08/02/1996]     1055     "    0    3    0	IRREGULAR HR   
[12:50:06.344 08/02/1996]     1056     "    0    3    0	IRREGULAR HR   
[12:50:07.368 08/02/1996]     1057     "    0    3    0	IRREGULAR HR   
[12:50:08.392 08/02/1996]     1058     "    0    3    0	IRREGULAR HR   
[12:50:09.416 08/02/1996]     1059     "    0    3    0	IRREGULAR HR   
[12:50:10.440 08/02/1996]     1060     "    0    3    0	IRREGULAR HR   
[12:50:11.464 08/02/1996]     1061     "    0    3    0	IRREGULAR HR   
[12:50:12.488 08/02/1996]     1062     "    0    3    0	IRREGULAR HR   
[12:50:13.512 08/02/1996]     1063     "    0    3    0	IRREGULAR HR   
[12:50:14.536 08/02/1996]     1064     "    0    3    0	IRREGULAR HR   
[12:50:15.560 08/02/1996]     1065     "    0    3    0	IRREGULAR HR   
[12:50:16.584 08/02/1996]     1066     "    0    3    0	IRREGULAR HR   
[12:50:17.608 08/02/1996]     1067     "    0    3    0	IRREGULAR HR   
[12:50:18.632 08/02/1996]     1068     "    0    3    0	IRREGULAR HR   
[12:50:19.656 08/02/1996]     1069     "    0    3    0	IRREGULAR HR   
[12:50:20.680 08/02/1996]     1070     "    0    3    0	IRREGULAR HR   
[12:50:21.704 08/02/1996]     1071     "    0    3    0	IRREGULAR HR   
[12:50:22.728 08/02/1996]     1072     "    0    3    0	IRREGULAR HR   
[12:50:23.752 08/02/1996]     1073     "    0    3    0	IRREGULAR HR   
[12:50:24.776 08/02/1996]     1074     "    0    3    0	IRREGULAR HR   
[12:50:25.800 08/02/1996]     1075     "    0    3    0	IRREGULAR HR   
[12:50:26.824 08/02/1996]     1076     "    0    3    0	IRREGULAR HR   
[12:50:27.848 08/02/1996]     1077     "    0    3    0	IRREGULAR HR   
[12:50:28.872 08/02/1996]     1078     "    0    3    0	IRREGULAR HR   
[12:50:29.896 08/02/1996]     1079     "    0    3    0	IRREGULAR HR   
[12:50:30.920 08/02/1996]     1080     "    0    3    0	IRREGULAR HR   
[12:50:31.944 08/02/1996]     1081     "    0    3    0	IRREGULAR HR   
[12:50:32.968 08/02/1996]     1082     "    0    3    0	IRREGULAR HR   
[12:50:33.992 08/02/1996]     1083     "    0    3    0	IRREGULAR HR   
[12:50:35.016 08/02/1996]     1084     "    0    3    0	IRREGULAR HR   
[12:50:36.040 08/02/1996]     1085     "    0    3    0	IRREGULAR HR   
[12:50:37.064 08/02/1996]     1086     "    0    3    0	IRREGULAR HR   
[12:50:38.088 08/02/1996]     1087     "    0    3    0	IRREGULAR HR   
[12:50:39.112 08/02/1996]     1088     "    0    3    0	IRREGULAR HR   
[12:50:40.136 08/02/1996]     1089     "    0    3    0	IRREGULAR HR   
[12:50:41.160 08/02/1996]     1090     "    0    3    0	IRREGULAR HR   
[12:50:42.184 08/02/1996]     1091     "    0    3    0	IRREGULAR HR   
